"Angle" "Energy" "Method"
"1" 5 1.41336011886597 "B3LYP"
"2" 10 5.58595619350672 "B3LYP"
"3" 15 10.7446934022009 "B3LYP"
"4" 20 20.0496316365898 "B3LYP"
"5" 25 31.9502653107047 "B3LYP"
"6" 30 46.3728515394032 "B3LYP"
"7" 35 63.4643318764865 "B3LYP"
"8" 40 82.7792557105422 "B3LYP"
"9" 45 103.994079496711 "B3LYP"
"10" 50 126.856825660914 "B3LYP"
"11" 55 150.420537490398 "B3LYP"
"12" 60 174.324936050922 "B3LYP"
"13" 65 196.647263810039 "B3LYP"
"14" 70 216.29253404215 "B3LYP"
"15" 75 232.007933884859 "B3LYP"
"16" 80 242.25057695806 "B3LYP"
"17" 85 246.586713545024 "B3LYP"
"18" 90 245.252266492695 "B3LYP"
"19" 95 238.751190919429 "B3LYP"
"20" 100 228.055205915123 "B3LYP"
"21" 105 213.763234410435 "B3LYP"
"22" 110 197.057339608669 "B3LYP"
"23" 115 178.80447671935 "B3LYP"
"24" 120 159.79785804823 "B3LYP"
"25" 125 140.862261127681 "B3LYP"
"26" 130 122.676882509142 "B3LYP"
"27" 135 106.192488502711 "B3LYP"
"28" 140 91.694526694715 "B3LYP"
"29" 145 79.4170151315629 "B3LYP"
"30" 150 69.4881195016205 "B3LYP"
"31" 155 61.8199469782412 "B3LYP"
"32" 160 56.2767126820982 "B3LYP"
"33" 165 52.507933780551 "B3LYP"
"34" 170 51.5185272805393 "B3LYP"
"35" 175 50.0529212765396 "B3LYP"
"36" 180 49.5854294225574 "B3LYP"
"37" -175 50.0510164797306 "B3LYP"
"38" -170 51.5136292278767 "B3LYP"
"39" -165 52.506573215127 "B3LYP"
"40" -160 56.3009308278561 "B3LYP"
"41" -155 61.856410253793 "B3LYP"
"42" -150 69.5166914649308 "B3LYP"
"43" -145 79.4039536565542 "B3LYP"
"44" -140 91.7279967181385 "B3LYP"
"45" -135 106.324463792145 "B3LYP"
"46" -130 122.766680128872 "B3LYP"
"47" -125 140.720761846751 "B3LYP"
"48" -120 159.700713351369 "B3LYP"
"49" -115 178.816449731588 "B3LYP"
"50" -110 197.120470054448 "B3LYP"
"51" -105 213.813031274825 "B3LYP"
"52" -100 228.118880592287 "B3LYP"
"53" -95 238.784388821572 "B3LYP"
"54" -90 245.234034851193 "B3LYP"
"55" -85 246.584264520556 "B3LYP"
"56" -80 242.234522227198 "B3LYP"
"57" -75 231.982355166227 "B3LYP"
"58" -70 216.278111997992 "B3LYP"
"59" -65 196.586854502559 "B3LYP"
"60" -60 174.127109173685 "B3LYP"
"61" -55 150.458905566484 "B3LYP"
"62" -50 126.590698167682 "B3LYP"
"63" -45 103.899383824319 "B3LYP"
"64" -40 82.6883696354926 "B3LYP"
"65" -35 63.4022898860276 "B3LYP"
"66" -30 46.3679534830153 "B3LYP"
"67" -25 31.9456393718719 "B3LYP"
"68" -20 20.0368422791362 "B3LYP"
"69" -15 10.6989782527089 "B3LYP"
"70" -10 5.57098992168903 "B3LYP"
"71" -5 1.41254377365112 "B3LYP"
"72" 0 0 "B3LYP"
