# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       -0.0092942961    -1255.4325622200
        9.9907057039    -1255.4324181400
       19.9907057039    -1255.4319940100
       29.9907057039    -1255.4313503500
       39.9907057039    -1255.4307420600
       49.9907057039    -1255.4302545300
       59.9907057039    -1255.4297794500
       69.9907057039    -1255.4295112000
       79.9907057039    -1255.4293777600
       89.9907057039    -1255.4293510300
       99.9907057039    -1255.4293427600
      109.9907057039    -1255.4294137900
      119.9907057039    -1255.4295596700
      129.9907057039    -1255.4295571900
      139.9907057039    -1255.4290390000
      149.9907057039    -1255.4278948000
      159.9907057039    -1255.4260797100
      169.9907057039    -1255.4237652800
      179.9907057039    -1255.4218650900
      189.9907057039    -1255.4237608600
      199.9907057039    -1255.4260757600
      209.9907057039    -1255.4278920300
      219.9907057039    -1255.4290374300
      229.9907057039    -1255.4295567100
      239.9907057039    -1255.4295598800
      249.9907057039    -1255.4294140500
      259.9907057039    -1255.4293427900
      269.9907057039    -1255.4293510700
      279.9907057039    -1255.4293776400
      289.9907057039    -1255.4295109000
      299.9907057039    -1255.4297787800
      309.9907057039    -1255.4302537900
      319.9907057039    -1255.4307410600
      329.9907057039    -1255.4313491500
      339.9907057039    -1255.4319929100
      349.9907057039    -1255.4324175200
      359.9907057039    -1255.4325657200
