# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       -0.0092843886    -1334.0517273200
        9.9907156114    -1334.0515157200
       19.9907156114    -1334.0509113900
       29.9907156114    -1334.0500915900
       39.9907156114    -1334.0492239700
       49.9907156114    -1334.0485792700
       59.9907156114    -1334.0481291100
       69.9907156114    -1334.0478201100
       79.9907156114    -1334.0476129200
       89.9907156114    -1334.0475722800
       99.9907156114    -1334.0476272400
      109.9907156114    -1334.0477658900
      119.9907156114    -1334.0478847500
      129.9907156114    -1334.0477317100
      139.9907156114    -1334.0470132200
      149.9907156114    -1334.0457793900
      159.9907156114    -1334.0437762300
      169.9907156114    -1334.0410992700
      179.9907156114    -1334.0387099000
      189.9907156114    -1334.0410939800
      199.9907156114    -1334.0437718100
      209.9907156114    -1334.0457763300
      219.9907156114    -1334.0470114900
      229.9907156114    -1334.0477310300
      239.9907156114    -1334.0478847900
      249.9907156114    -1334.0477661900
      259.9907156114    -1334.0476274300
      269.9907156114    -1334.0475721900
      279.9907156114    -1334.0476126200
      289.9907156114    -1334.0478195500
      299.9907156114    -1334.0481284600
      309.9907156114    -1334.0485783400
      319.9907156114    -1334.0492225800
      329.9907156114    -1334.0500898700
      339.9907156114    -1334.0509099000
      349.9907156114    -1334.0515152300
