# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       -0.0092570169    -1255.2345899500
        9.9907429831    -1255.2345027500
       19.9907429831    -1255.2342264900
       29.9907429831    -1255.2338319600
       39.9907429831    -1255.2335184300
       49.9907429831    -1255.2332422700
       59.9907429831    -1255.2331197600
       69.9907429831    -1255.2330714100
       79.9907429831    -1255.2330521300
       89.9907429831    -1255.2330634400
       99.9907429831    -1255.2330527200
      109.9907429831    -1255.2330520000
      119.9907429831    -1255.2330241500
      129.9907429831    -1255.2328002100
      139.9907429831    -1255.2320617600
      149.9907429831    -1255.2306814300
      159.9907429831    -1255.2286250700
      169.9907429831    -1255.2260719600
      179.9907429831    -1255.2239766400
      189.9907429831    -1255.2260670500
      199.9907429831    -1255.2286206800
      209.9907429831    -1255.2306782200
      219.9907429831    -1255.2320598200
      229.9907429831    -1255.2327994400
      239.9907429831    -1255.2330240800
      249.9907429831    -1255.2330520000
      259.9907429831    -1255.2330527300
      269.9907429831    -1255.2330634800
      279.9907429831    -1255.2330521700
      289.9907429831    -1255.2330714100
      299.9907429831    -1255.2331196100
      309.9907429831    -1255.2332421600
      319.9907429831    -1255.2335179300
      329.9907429831    -1255.2338313100
      339.9907429831    -1255.2342258000
      349.9907429831    -1255.2345023200
      359.9907429831    -1255.2345926400
