# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
       -0.0092340202    -1333.8270510400
        9.9907659798    -1333.8268896000
       19.9907659798    -1333.8264564400
       29.9907659798    -1333.8258793100
       39.9907659798    -1333.8253326100
       49.9907659798    -1333.8249676100
       59.9907659798    -1333.8247735100
       69.9907659798    -1333.8246716200
       79.9907659798    -1333.8246037200
       89.9907659798    -1333.8246313500
       99.9907659798    -1333.8247078200
      109.9907659798    -1333.8247894900
      119.9907659798    -1333.8248220400
      129.9907659798    -1333.8245168100
      139.9907659798    -1333.8237301400
      149.9907659798    -1333.8230661700
      159.9907659798    -1333.8211126100
      169.9907659798    -1333.8185070900
      179.9907659798    -1333.8161555000
      189.9907659798    -1333.8192049700
      199.9907659798    -1333.8219257400
      209.9907659798    -1333.8239785300
      219.9907659798    -1333.8253170800
      229.9907659798    -1333.8260808400
      239.9907659798    -1333.8264362000
      249.9907659798    -1333.8265632100
      259.9907659798    -1333.8266297200
      269.9907659798    -1333.8266039100
      279.9907659798    -1333.8263740900
      289.9907659798    -1333.8259198200
      299.9907659798    -1333.8252758900
      309.9907659798    -1333.8249796600
      319.9907659798    -1333.8250465700
      329.9907659798    -1333.8252839900
      339.9907659798    -1333.8257535200
      349.9907659798    -1333.8261065400
      359.9907659798    -1333.8261491800
