Angle Energy Method
-170 7.075836999999993 MD_potential_off
-160 5.834907999999999 MD_potential_off
-150 5.434417999999994 MD_potential_off
-140 3.97584599999999 MD_potential_off
-130 2.730247999999989 MD_potential_off
-120 1.7462999999999909 MD_potential_off
-110 1.0326999999999913 MD_potential_off
-100 0.5144049999999964 MD_potential_off
-90 0.18042799999999204 MD_potential_off
-80 0.03742299999998977 MD_potential_off
-70 0.018035999999995056 MD_potential_off
-60 0.1913149999999888 MD_potential_off
-50 0.5699539999999956 MD_potential_off
-40 1.2178499999999985 MD_potential_off
-30 2.076599999999999 MD_potential_off
-20 3.026771999999994 MD_potential_off
-10 3.8444219999999945 MD_potential_off
0 4.178001999999992 MD_potential_off
10 3.872489999999999 MD_potential_off
20 3.0899969999999968 MD_potential_off
30 2.1260839999999916 MD_potential_off
40 1.267333999999991 MD_potential_off
50 0.6019059999999996 MD_potential_off
60 0.19357299999998645 MD_potential_off
70 0 MD_potential_off
80 0.0032119999999906668 MD_potential_off
90 0.1532669999999996 MD_potential_off
100 0.47884399999999516 MD_potential_off
110 0.9797139999999871 MD_potential_off
120 1.7008749999999964 MD_potential_off
130 2.6813129999999887 MD_potential_off
140 3.5197829999999897 MD_potential_off
150 4.083389999999994 MD_potential_off
160 5.173927999999989 MD_potential_off
170 6.533492999999993 MD_potential_off
180 7.997944000000004 MD_potential_off
