# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
     -179.9717487481    -1255.4326061400
     -169.9717487481    -1255.4327739500
     -159.9717487481    -1255.4330520800
     -149.9717487481    -1255.4331644200
     -139.9717487481    -1255.4330004300
     -129.9717487481    -1255.4324256900
     -119.9717487481    -1255.4315552500
     -109.9717487481    -1255.4305509600
      -99.9717487481    -1255.4296575400
      -89.9717487481    -1255.4292010000
      -79.9717487481    -1255.4294088000
      -69.9717487481    -1255.4300743800
      -59.9717487481    -1255.4308668800
      -49.9717487481    -1255.4315122700
      -39.9717487481    -1255.4317836700
      -29.9717487481    -1255.4317220500
      -19.9717487481    -1255.4313534700
       -9.9717487481    -1255.4308883400
        0.0282512519    -1255.4306524200
       10.0282512519    -1255.4308906700
       20.0282512519    -1255.4313561500
       30.0282512519    -1255.4317233500
       40.0282512519    -1255.4317829300
       50.0282512519    -1255.4315094300
       60.0282512519    -1255.4308625500
       70.0282512519    -1255.4300700800
       80.0282512519    -1255.4294061200
       90.0282512519    -1255.4292017200
      100.0282512519    -1255.4296616100
      110.0282512519    -1255.4305565800
      120.0282512519    -1255.4315607300
      130.0282512519    -1255.4324298100
      140.0282512519    -1255.4330027200
      150.0282512519    -1255.4331646900
      160.0282512519    -1255.4330507600
      170.0282512519    -1255.4327724000
      180.0282512519    -1255.4326064800
