# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
     -179.9717973703    -2509.6715304400
     -169.9717973703    -2509.6716806900
     -159.9717973703    -2509.6717746300
     -149.9717973703    -2509.6716378500
     -139.9717973703    -2509.6711373600
     -129.9717973703    -2509.6702497300
     -119.9717973703    -2509.6690688400
     -109.9717973703    -2509.6677729000
      -99.9717973703    -2509.6666218000
      -89.9717973703    -2509.6660399800
      -79.9717973703    -2509.6663045800
      -69.9717973703    -2509.6671847700
      -59.9717973703    -2509.6682496300
      -49.9717973703    -2509.6691787800
      -39.9717973703    -2509.6697724500
      -29.9717973703    -2509.6699648100
      -19.9717973703    -2509.6698173000
       -9.9717973703    -2509.6695222400
        0.0282026297    -2509.6693781400
       10.0282026297    -2509.6695530700
       20.0282026297    -2509.6698270200
       30.0282026297    -2509.6699773000
       40.0282026297    -2509.6697764600
       50.0282026297    -2509.6691765000
       60.0282026297    -2509.6682401200
       70.0282026297    -2509.6671660100
       80.0282026297    -2509.6662797400
       90.0282026297    -2509.6660135100
      100.0282026297    -2509.6666021200
      110.0282026297    -2509.6674335500
      120.0282026297    -2509.6690910700
      130.0282026297    -2509.6702575600
      140.0282026297    -2509.6711414900
      150.0282026297    -2509.6716395700
      160.0282026297    -2509.6717746100
      170.0282026297    -2509.6716798800
      180.0282026297    -2509.6715632500
