# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
     -179.9717618884    -1334.0509609300
     -169.9717618884    -1334.0511503300
     -159.9717618884    -1334.0514336500
     -149.9717618884    -1334.0515526800
     -139.9717618884    -1334.0513461000
     -129.9717618884    -1334.0507732300
     -119.9717618884    -1334.0499040000
     -109.9717618884    -1334.0488965400
      -99.9717618884    -1334.0479948400
      -89.9717618884    -1334.0475370700
      -79.9717618884    -1334.0477342700
      -69.9717618884    -1334.0483863100
      -59.9717618884    -1334.0491779600
      -49.9717618884    -1334.0498342800
      -39.9717618884    -1334.0501700700
      -29.9717618884    -1334.0501241000
      -19.9717618884    -1334.0497660100
       -9.9717618884    -1334.0493051400
        0.0282381116    -1334.0490106500
       10.0282381116    -1334.0493074900
       20.0282381116    -1334.0497685300
       30.0282381116    -1334.0501253300
       40.0282381116    -1334.0501692000
       50.0282381116    -1334.0498314200
       60.0282381116    -1334.0491735900
       70.0282381116    -1334.0483819100
       80.0282381116    -1334.0477315700
       90.0282381116    -1334.0475377100
      100.0282381116    -1334.0479990500
      110.0282381116    -1334.0489022100
      120.0282381116    -1334.0499095100
      130.0282381116    -1334.0507775600
      140.0282381116    -1334.0513483100
      150.0282381116    -1334.0515528200
      160.0282381116    -1334.0514322000
      170.0282381116    -1334.0511487300
      180.0282381116    -1334.0509623200
