# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.0254045679    -2666.9101433800
       10.0254045679    -2666.9102274400
       20.0254045679    -2666.9103170700
       30.0254045679    -2666.9103335100
       40.0254045679    -2666.9097559600
       50.0254045679    -2666.9089272300
       60.0254045679    -2666.9077025000
       70.0254045679    -2666.9063688200
       80.0254045679    -2666.9052359600
       90.0254045679    -2666.9046770400
      100.0254045679    -2666.9049102300
      110.0254045679    -2666.9057679900
      120.0254045679    -2666.9068676300
      130.0254045679    -2666.9078156000
      140.0254045679    -2666.9085163800
      150.0254045679    -2666.9088832500
      160.0254045679    -2666.9087404200
      170.0254045679    -2666.9084600600
      180.0254045679    -2666.9081966200
      190.0254045679    -2666.9084615000
      200.0254045679    -2666.9087415200
      210.0254045679    -2666.9088826900
      220.0254045679    -2666.9085137200
      230.0254045679    -2666.9078111300
      240.0254045679    -2666.9068620300
      250.0254045679    -2666.9057627300
      260.0254045679    -2666.9049071400
      270.0254045679    -2666.9046778700
      280.0254045679    -2666.9052405700
      290.0254045679    -2666.9063753900
      300.0254045679    -2666.9077092300
      310.0254045679    -2666.9089327800
      320.0254045679    -2666.9097595000
      330.0254045679    -2666.9103350400
      340.0254045679    -2666.9103170600
      350.0254045679    -2666.9102267800
      360.0254045679    -2666.9101434100
