# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
     -179.9717876547    -1255.2345263800
     -169.9717876547    -1255.2347322900
     -159.9717876547    -1255.2351278000
     -149.9717876547    -1255.2354054800
     -139.9717876547    -1255.2354325500
     -129.9717876547    -1255.2350527700
     -119.9717876547    -1255.2343938400
     -109.9717876547    -1255.2335862100
      -99.9717876547    -1255.2328579100
      -89.9717876547    -1255.2324906300
      -79.9717876547    -1255.2326396500
      -69.9717876547    -1255.2331408100
      -59.9717876547    -1255.2337039300
      -49.9717876547    -1255.2341368900
      -39.9717876547    -1255.2342131100
      -29.9717876547    -1255.2339930100
      -19.9717876547    -1255.2334980100
       -9.9717876547    -1255.2329473200
        0.0282123453    -1255.2326791800
       10.0282123453    -1255.2329500100
       20.0282123453    -1255.2335012700
       30.0282123453    -1255.2339951800
       40.0282123453    -1255.2342133300
       50.0282123453    -1255.2341353100
       60.0282123453    -1255.2337009400
       70.0282123453    -1255.2331376000
       80.0282123453    -1255.2326375100
       90.0282123453    -1255.2324911700
      100.0282123453    -1255.2328612500
      110.0282123453    -1255.2335908200
      120.0282123453    -1255.2343981600
      130.0282123453    -1255.2350558500
      140.0282123453    -1255.2354333800
      150.0282123453    -1255.2354046700
      160.0282123453    -1255.2351257200
      170.0282123453    -1255.2347302200
      180.0282123453    -1255.2345265300
