# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
     -100.0000215822    -1255.2326047200
      -96.0000215822    -1255.2325074200
      -92.0000215822    -1255.2324802100
      -88.0000215822    -1255.2325266100
      -84.0000215822    -1255.2326507200
      -80.0000215822    -1255.2328471000
      -76.0000215822    -1255.2331020300
      -72.0000215822    -1255.2333975900
      -68.0000215822    -1255.2337187900
      -64.0000215822    -1255.2340482900
      -60.0000215822    -1255.2343672500
      -56.0000215822    -1255.2346618600
      -52.0000215822    -1255.2349239100
      -48.0000215822    -1255.2351446500
      -44.0000215822    -1255.2353156500
      -40.0000215822    -1255.2354309000
      -36.0000215822    -1255.2354325900
      -32.0000215822    -1255.2354284900
      -28.0000215822    -1255.2353709600
      -24.0000215822    -1255.2352688500
      -20.0000215822    -1255.2351308500
      -16.0000215822    -1255.2349706500
      -12.0000215822    -1255.2348085500
       -8.0000215822    -1255.2346644400
       -4.0000215822    -1255.2345628100
       -0.0000215822    -1255.2345265200
        3.9999784178    -1255.2345628200
        7.9999784178    -1255.2346644500
       11.9999784178    -1255.2348085700
       15.9999784178    -1255.2349706600
       19.9999784178    -1255.2351308700
       23.9999784178    -1255.2352686800
       27.9999784178    -1255.2353710100
       31.9999784178    -1255.2354283400
       35.9999784178    -1255.2354325700
       39.9999784178    -1255.2354309100
       43.9999784178    -1255.2353156900
       47.9999784178    -1255.2351446500
       51.9999784178    -1255.2349238700
       55.9999784178    -1255.2346619000
       59.9999784178    -1255.2343673000
       63.9999784178    -1255.2340483400
       67.9999784178    -1255.2337190900
       71.9999784178    -1255.2333979700
       75.9999784178    -1255.2331020300
       79.9999784178    -1255.2328471100
       83.9999784178    -1255.2326507500
       87.9999784178    -1255.2325267100
       91.9999784178    -1255.2324802900
       95.9999784178    -1255.2325075000
       99.9999784178    -1255.2326047000
