# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.0253550546    -2509.2803516300
       10.0253550546    -2509.2805821700
       20.0253550546    -2509.2808955800
       30.0253550546    -2509.2810402800
       40.0253550546    -2509.2808723900
       50.0253550546    -2509.2803328800
       60.0253550546    -2509.2794867000
       70.0253550546    -2509.2785140500
       80.0253550546    -2509.2776610800
       90.0253550546    -2509.2772410900
      100.0253550546    -2509.2773473600
      110.0253550546    -2509.2778921600
      120.0253550546    -2509.2786149700
      130.0253550546    -2509.2792175300
      140.0253550546    -2509.2795346000
      150.0253550546    -2509.2794785500
      160.0253550546    -2509.2790977100
      170.0253550546    -2509.2785931300
      180.0253550546    -2509.2783283300
      190.0253550546    -2509.2785723100
      200.0253550546    -2509.2791011700
      210.0253550546    -2509.2794706900
      220.0253550546    -2509.2795339200
      230.0253550546    -2509.2792150900
      240.0253550546    -2509.2786114300
      250.0253550546    -2509.2778886600
      260.0253550546    -2509.2773455200
      270.0253550546    -2509.2772419500
      280.0253550546    -2509.2776644700
      290.0253550546    -2509.2785193200
      300.0253550546    -2509.2794914800
      310.0253550546    -2509.2803366600
      320.0253550546    -2509.2808742700
      330.0253550546    -2509.2810402800
      340.0253550546    -2509.2808942000
      350.0253550546    -2509.2805805900
      360.0253550546    -2509.2803869100
