# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.0253550546    -2509.2803516300
        3.0253550546    -2509.2804142700
        6.0253550546    -2509.2804706200
        9.0253550546    -2509.2805514700
       12.0253550546    -2509.2806465200
       15.0253550546    -2509.2807446700
       18.0253550546    -2509.2808384900
       21.0253550546    -2509.2809216400
       24.0253550546    -2509.2809862700
       27.0253550546    -2509.2810264800
       30.0253550546    -2509.2810402900
       33.0253550546    -2509.2810265400
       36.0253550546    -2509.2809828400
       39.0253550546    -2509.2809059000
       42.0253550546    -2509.2807939600
       45.0253550546    -2509.2806479200
       48.0253550546    -2509.2804694400
       51.0253550546    -2509.2802598100
       54.0253550546    -2509.2800221300
       57.0253550546    -2509.2797622300
       60.0253550546    -2509.2794867100
       63.0253550546    -2509.2791999000
       66.0253550546    -2509.2789058700
       69.0253550546    -2509.2786113900
       72.0253550546    -2509.2783235800
       75.0253550546    -2509.2780502000
       -3.0253550546    -2509.2804142700
       -6.0253550546    -2509.2804706200
       -9.0253550546    -2509.2805514700
      -12.0253550546    -2509.2806465200
      -15.0253550546    -2509.2807446700
      -18.0253550546    -2509.2808384900
      -21.0253550546    -2509.2809216400
      -24.0253550546    -2509.2809862700
      -27.0253550546    -2509.2810264800
      -30.0253550546    -2509.2810402900
      -33.0253550546    -2509.2810265400
      -36.0253550546    -2509.2809828400
      -39.0253550546    -2509.2809059000
      -42.0253550546    -2509.2807939600
      -45.0253550546    -2509.2806479200
      -48.0253550546    -2509.2804694400
      -51.0253550546    -2509.2802598100
      -54.0253550546    -2509.2800221300
      -57.0253550546    -2509.2797622300
      -60.0253550546    -2509.2794867100
      -63.0253550546    -2509.2791999000
      -66.0253550546    -2509.2789058700
      -69.0253550546    -2509.2786113900
      -72.0253550546    -2509.2783235800
      -75.0253550546    -2509.2780502000
