# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
     -179.9717600219    -1333.8258062700
     -169.9717600219    -1333.8260549900
     -159.9717600219    -1333.8264599800
     -149.9717600219    -1333.8267469900
     -139.9717600219    -1333.8267355300
     -129.9717600219    -1333.8263729000
     -119.9717600219    -1333.8257155000
     -109.9717600219    -1333.8249053900
      -99.9717600219    -1333.8241582700
      -89.9717600219    -1333.8237869200
      -79.9717600219    -1333.8239406500
      -69.9717600219    -1333.8244361800
      -59.9717600219    -1333.8250170100
      -49.9717600219    -1333.8254520600
      -39.9717600219    -1333.8255946700
      -29.9717600219    -1333.8253906200
      -19.9717600219    -1333.8249010800
       -9.9717600219    -1333.8243485100
        0.0282399781    -1333.8240102300
       10.0282399781    -1333.8243512600
       20.0282399781    -1333.8249042400
       30.0282399781    -1333.8253926900
       40.0282399781    -1333.8255948600
       50.0282399781    -1333.8254503100
       60.0282399781    -1333.8250139300
       70.0282399781    -1333.8244327700
       80.0282399781    -1333.8239385300
       90.0282399781    -1333.8237876200
      100.0282399781    -1333.8241616500
      110.0282399781    -1333.8249100800
      120.0282399781    -1333.8257197600
      130.0282399781    -1333.8263758500
      140.0282399781    -1333.8267364600
      150.0282399781    -1333.8267461600
      160.0282399781    -1333.8264577600
      170.0282399781    -1333.8260527100
      180.0282399781    -1333.8258064500
