# Scan of Total Energy
# X-Axis:  Scan Coordinate
# Y-Axis:  Total Energy (Hartree)
#                  X                   Y
        0.0254193268    -2666.4658030600
       10.0254193268    -2666.4659820000
       20.0254193268    -2666.4662991100
       30.0254193268    -2666.4665312700
       40.0254193268    -2666.4663610100
       50.0254193268    -2666.4658312100
       60.0254193268    -2666.4650459900
       70.0254193268    -2666.4640576700
       80.0254193268    -2666.4632009900
       90.0254193268    -2666.4627791600
      100.0254193268    -2666.4628927300
      110.0254193268    -2666.4634845700
      120.0254193268    -2666.4642434500
      130.0254193268    -2666.4648492700
      140.0254193268    -2666.4652159000
      150.0254193268    -2666.4652391400
      160.0254193268    -2666.4648170500
      170.0254193268    -2666.4643299800
      180.0254193268    -2666.4639760000
      190.0254193268    -2666.4643322900
      200.0254193268    -2666.4648194200
      210.0254193268    -2666.4652401800
      220.0254193268    -2666.4652150400
      230.0254193268    -2666.4648464800
      240.0254193268    -2666.4642396900
      250.0254193268    -2666.4634808100
      260.0254193268    -2666.4628907500
      270.0254193268    -2666.4627799700
      280.0254193268    -2666.4632045100
      290.0254193268    -2666.4640626100
      300.0254193268    -2666.4650509300
      310.0254193268    -2666.4658347500
      320.0254193268    -2666.4663628400
      330.0254193268    -2666.4665312000
      340.0254193268    -2666.4662976300
      350.0254193268    -2666.4659804400
      360.0254193268    -2666.4658031700
