Angle Energy Method
-170 5.835111755877733 bwb97xd
-160 5.115559339523315 bwb97xd
-150 4.720836443826556 bwb97xd
-140 5.248359376564622 bwb97xd
-130 6.824204119853675 bwb97xd
-120 9.283683921210468 bwb97xd
-110 12.104922999627888 bwb97xd
-100 14.432784724980593 bwb97xd
-90 15.132059919647872 bwb97xd
-80 13.586026892997324 bwb97xd
-70 11.402206980623305 bwb97xd
-60 7.048593106679618 bwb97xd
-50 3.9847102891653776 bwb97xd
-40 1.6629947675392032 bwb97xd
-30 0.35474630165845156 bwb97xd
-20 5.253218114376068e-5 bwb97xd
-10 0.2488687401637435 bwb97xd
0 0.6413853066042066 bwb97xd
10 0.2467412082478404 bwb97xd
20 0 bwb97xd
30 0.3592640245333314 bwb97xd
40 1.673842554911971 bwb97xd
50 4.005276435054839 bwb97xd
60 7.1069820476695895 bwb97xd
70 10.510876035317779 bwb97xd
80 13.53433573897928 bwb97xd
90 15.062534268014133 bwb97xd
100 14.367540402337909 bwb97xd
110 12.055648302659392 bwb97xd
120 9.258705115877092 bwb97xd
130 6.818215509876609 bwb97xd
140 5.258891974575818 bwb97xd
150 4.753642465919256 bwb97xd
160 5.141089726239443 bwb97xd
170 5.916089310310781 bwb97xd
180 6.294579922221601 bwb97xd
